Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Z_mm,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Yaw,Current_VX,Current_VY,Current_Angular_Vel,Target_X,Target_Y,Target_Yaw,Target_VX,Target_VY,Target_Angular_Vel,Error_X,Error_Y,Error_Yaw,Error_VX,Error_VY,Error_Angular_Vel,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,Total_MPC_Loop_Time,Timing_Violation
46,2.7650,2.7650,0.0600,0.060,APPROACHING,0,999.40,1010.23,149.38,0.99940,1.01023,2.60713,0.00098,0.00785,-0.26446,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49940,0.51023,-2.60713,-0.00098,-0.00785,0.26446,0.0096,OPTIMAL,Gurobi,0.050,0.0017,False,False,82132.346,89,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.7650,4,0,0.0000,False
47,2.8250,2.8250,0.0600,0.060,APPROACHING,0,999.46,1010.72,148.45,0.99946,1.01072,2.59101,0.00127,0.00834,-0.26668,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49946,0.51072,-2.59101,-0.00127,-0.00834,0.26668,0.0275,OPTIMAL,Gurobi,0.050,0.0051,False,False,81380.303,91,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.8250,4,0,0.0000,False
48,2.8850,2.8850,0.0600,0.060,APPROACHING,0,999.54,1011.21,147.53,0.99954,1.01121,2.57489,0.00147,0.00786,-0.26510,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49954,0.51121,-2.57489,-0.00147,-0.00786,0.26510,0.0239,OPTIMAL,Gurobi,0.050,0.0078,False,False,80654.854,119,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.8850,4,0,0.0000,False
49,2.9450,2.9450,0.0600,0.060,APPROACHING,0,999.62,1011.68,146.59,0.99962,1.01168,2.55844,0.00117,0.00779,-0.27348,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49962,0.51168,-2.55844,-0.00117,-0.00779,0.27348,0.0261,OPTIMAL,Gurobi,0.050,0.0076,False,False,79937.939,255,0.010,"[0, 1, 0, 1, 0, 1, 0, 0]",0x01010100,2.9450,3,1,0.0000,False
50,3.0050,3.0050,0.0600,0.060,APPROACHING,0,999.68,1012.12,145.64,0.99968,1.01212,2.54195,0.00105,0.00727,-0.27362,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49968,0.51212,-2.54195,-0.00105,-0.00727,0.27362,0.0290,OPTIMAL,Gurobi,0.050,0.0122,False,False,78268.872,280,0.000,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,3.0050,4,1,0.0000,False
51,3.0650,3.0650,0.0600,0.060,APPROACHING,0,999.71,1012.54,144.71,0.99971,1.01254,2.52560,0.00009,0.00678,-0.26946,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49971,0.51254,-2.52560,-0.00009,-0.00678,0.26946,0.0082,OPTIMAL,Gurobi,0.050,0.0026,False,False,77345.305,93,0.009,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,3.0650,4,0,0.0000,False
52,3.1250,3.1250,0.0600,0.060,APPROACHING,0,999.70,1012.94,143.79,0.99970,1.01294,2.50966,-0.00030,0.00713,-0.26385,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49970,0.51294,-2.50966,0.00030,-0.00713,0.26385,0.0267,OPTIMAL,Gurobi,0.050,0.0051,False,False,76647.467,96,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,3.1250,4,0,0.0000,False
53,3.1850,3.1850,0.0600,0.060,APPROACHING,0,999.69,1013.36,142.87,0.99969,1.01336,2.49363,-0.00032,0.00712,-0.26671,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49969,0.51336,-2.49363,0.00032,-0.00712,0.26671,0.0283,OPTIMAL,Gurobi,0.050,0.0065,False,False,75847.295,135,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,3.1850,4,0,0.0000,False
54,3.2450,3.2450,0.0600,0.060,APPROACHING,0,999.67,1013.77,141.96,0.99967,1.01377,2.47764,-0.00009,0.00707,-0.26179,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49967,0.51377,-2.47764,0.00009,-0.00707,0.26179,0.0221,OPTIMAL,Gurobi,0.050,0.0055,False,False,74678.766,284,0.000,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,3.2450,4,0,0.0000,False
55,3.3050,3.3050,0.0600,0.060,APPROACHING,0,999.67,1014.19,141.05,0.99967,1.01419,2.46184,-0.00014,0.00702,-0.26384,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49967,0.51419,-2.46184,0.00014,-0.00702,0.26384,0.0081,OPTIMAL,Gurobi,0.050,0.0018,False,False,73762.887,95,0.009,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,3.3050,4,0,0.0000,False
